Latitude (decimal degrees):	58.380
Longitude (decimal degrees):	6.042
Elevation (m):	3
Radiation database:	PVGIS-SARAH3


Slope: 44 deg. (optimum)
Azimuth: 19 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,6.88,8.0,0.0
20050101:0111,0.0,0.0,6.92,7.72,0.0
20050101:0211,0.0,0.0,7.0,7.17,0.0
20050101:0311,0.0,0.0,7.0,6.69,0.0
20050101:0411,0.0,0.0,7.3,6.97,0.0
20050101:0511,0.0,0.0,7.33,8.14,0.0
20050101:0611,0.0,0.0,7.51,9.52,0.0
20050101:0711,0.0,0.0,7.52,8.14,0.0
20050101:0811,0.0,0.0,7.37,6.21,0.0
20050101:0911,5.32,3.02,7.35,4.83,0.0
20050101:1011,61.98,6.58,7.26,5.24,0.0
20050101:1111,134.54,8.4,7.35,5.03,0.0
20050101:1211,42.68,8.34,7.44,5.79,0.0
20050101:1311,37.53,6.39,7.39,6.9,0.0
20050101:1411,2.66,2.71,7.18,7.86,0.0
20050101:1511,0.0,0.0,7.25,8.55,0.0
20050101:1611,0.0,0.0,7.36,9.66,0.0
20050101:1711,0.0,0.0,7.22,10.14,0.0
20050101:1811,0.0,0.0,7.08,10.07,0.0
20050101:1911,0.0,0.0,7.06,10.55,0.0
20050101:2011,0.0,0.0,7.02,11.1,0.0
20050101:2111,0.0,0.0,6.88,11.93,0.0
20050101:2211,0.0,0.0,7.11,15.17,0.0
20050101:2311,0.0,0.0,7.19,14.21,0.0
20050102:0011,0.0,0.0,5.28,16.07,0.0
20050102:0111,0.0,0.0,4.98,14.9,0.0
20050102:0211,0.0,0.0,5.1,14.07,0.0
20050102:0311,0.0,0.0,4.89,14.28,0.0
20050102:0411,0.0,0.0,4.53,13.86,0.0
20050102:0511,0.0,0.0,4.26,14.21,0.0
20050102:0611,0.0,0.0,4.5,14.0,0.0
20050102:0711,0.0,0.0,4.3,13.86,0.0
20050102:0811,0.0,0.0,4.38,14.0,0.0
20050102:0911,0.89,3.07,3.99,14.14,0.0
20050102:1011,5.32,6.65,3.05,13.17,0.0
20050102:1111,11.52,8.48,2.91,13.86,0.0
20050102:1211,8.86,8.43,2.89,13.86,0.0
20050102:1311,7.09,6.49,2.69,14.14,0.0
20050102:1411,4.43,2.83,2.5,13.66,0.0
20050102:1511,0.0,0.0,2.43,14.07,0.0
20050102:1611,0.0,0.0,3.35,13.72,0.0
20050102:1711,0.0,0.0,4.44,14.0,0.0
20050102:1811,0.0,0.0,4.26,14.41,0.0
20050102:1911,0.0,0.0,3.76,14.28,0.0
20050102:2011,0.0,0.0,3.85,13.93,0.0
20050102:2111,0.0,0.0,3.69,13.72,0.0
20050102:2211,0.0,0.0,4.08,12.62,0.0
20050102:2311,0.0,0.0,3.45,14.48,0.0
20050103:0011,0.0,0.0,2.62,14.41,0.0
20050103:0111,0.0,0.0,3.0,13.72,0.0
20050103:0211,0.0,0.0,4.04,13.17,0.0
20050103:0311,0.0,0.0,4.17,13.1,0.0
20050103:0411,0.0,0.0,4.24,12.69,0.0
20050103:0511,0.0,0.0,4.4,12.62,0.0
20050103:0611,0.0,0.0,4.14,12.9,0.0
20050103:0711,0.0,0.0,4.42,12.07,0.0
20050103:0811,0.0,0.0,4.96,12.0,0.0
20050103:0911,0.89,3.12,5.73,11.31,0.0
20050103:1011,7.09,6.72,5.81,9.03,0.0
20050103:1111,18.62,8.57,5.51,7.1,0.0
20050103:1211,8.86,8.53,4.31,6.76,0.0
20050103:1311,7.98,6.61,3.81,8.07,0.0
20050103:1411,4.43,2.95,4.91,10.83,0.0
20050103:1511,0.0,0.0,6.1,15.38,0.0
20050103:1611,0.0,0.0,7.22,13.72,0.0
20050103:1711,0.0,0.0,7.88,12.34,0.0
20050103:1811,0.0,0.0,8.08,12.83,0.0
20050103:1911,0.0,0.0,8.05,12.48,0.0
20050103:2011,0.0,0.0,8.02,10.9,0.0
20050103:2111,0.0,0.0,8.11,9.1,0.0
20050103:2211,0.0,0.0,8.47,10.28,0.0
20050103:2311,0.0,0.0,9.04,12.9,0.0
20050104:0011,0.0,0.0,9.02,13.45,0.0
20050104:0111,0.0,0.0,8.86,12.28,0.0
20050104:0211,0.0,0.0,8.71,10.9,0.0
20050104:0311,0.0,0.0,8.56,9.72,0.0
20050104:0411,0.0,0.0,8.38,8.76,0.0
20050104:0511,0.0,0.0,8.27,9.31,0.0
20050104:0611,0.0,0.0,8.27,9.45,0.0
20050104:0711,0.0,0.0,8.27,8.97,0.0
20050104:0811,0.0,0.0,8.28,9.1,0.0
20050104:0911,0.89,3.19,8.32,9.86,0.0
20050104:1011,18.62,6.8,8.55,9.93,0.0
20050104:1111,7.98,8.66,8.64,10.28,0.0
20050104:1211,8.86,8.64,8.51,11.24,0.0
20050104:1311,7.09,6.73,8.83,12.0,0.0
